iter	MultiClass
0	1.027627142
1	0.9682478643
2	0.9051789607
3	0.8580766934
4	0.8143946461
5	0.7829286656
6	0.7503967803
7	0.7203199498
8	0.6946424628
9	0.6719238036
10	0.6500445696
11	0.6273419901
12	0.6114064597
13	0.5980463248
14	0.585287081
15	0.5718844669
16	0.5602050482
17	0.5494230976
18	0.5402648658
19	0.53376095
20	0.5226940886
21	0.5136319392
22	0.5057996332
23	0.4988674095
24	0.4907621656
25	0.484181605
26	0.4773739978
27	0.4706046051
28	0.4628042119
29	0.4582893578
30	0.4537000057
31	0.4481878559
32	0.4427787073
33	0.4372568131
34	0.4305538185
35	0.4269187061
36	0.4209740575
37	0.4166026547
38	0.4115281881
39	0.4088712729
40	0.4063677623
41	0.3998356501
42	0.3944244951
43	0.3902367743
44	0.3881058595
45	0.3857651917
46	0.3840010831
47	0.3804882304
48	0.3768891357
49	0.3744549003
50	0.3722177118
51	0.3697272859
52	0.36616799
53	0.3625097891
54	0.3593706307
55	0.3569958216
56	0.3552526351
57	0.3507628646
58	0.3485553786
59	0.3466687288
60	0.3440159592
61	0.3417123333
62	0.3402922642
63	0.3386911858
64	0.3369040515
65	0.3361126495
66	0.334284685
67	0.3320203736
68	0.3309021105
69	0.3295414819
70	0.3278388655
71	0.3240544264
72	0.3228884485
73	0.3203206046
74	0.3190490814
75	0.3182149727
76	0.3144793799
77	0.3125931006
78	0.3092244847
79	0.3061156128
80	0.3039328557
81	0.3021968685
82	0.2996489129
83	0.298076466
84	0.2972874158
85	0.2934558162
86	0.2910724297
87	0.2890188508
88	0.2868206272
89	0.284972323
90	0.2835625073
91	0.281127394
92	0.2799040865
93	0.2791063829
94	0.2747489387
95	0.270770861
96	0.2694086287
97	0.2683721289
98	0.2669625765
99	0.2656997648
