iter	Passed	Remaining
0	1419	140563
1	2237	109637
2	3142	101595
3	3997	95936
4	4813	91464
5	5636	88299
6	6433	85467
7	7215	82973
8	8033	81228
9	8803	79231
10	9596	77646
11	10375	76087
12	11166	74729
13	11941	73353
14	12723	72097
15	13533	71048
16	14328	69957
17	15102	68801
18	15907	67815
19	16690	66762
20	17467	65709
21	18348	65054
22	19156	64131
23	19938	63138
24	20726	62178
25	21521	61252
26	22292	60271
27	23073	59331
28	23875	58453
29	24646	57508
30	25415	56569
31	26219	55716
32	26999	54817
33	27784	53935
34	28609	53131
35	29403	52272
36	30195	51414
37	31014	50603
38	31851	49818
39	32642	48964
40	33426	48100
41	34317	47390
42	35203	46664
43	36046	45876
44	36884	45081
45	37691	44246
46	38502	43417
47	39330	42608
48	40134	41773
49	40945	40945
50	41792	40153
51	42602	39325
52	43399	38486
53	44234	37681
54	45036	36847
55	45825	36005
56	46623	35171
57	47450	34360
58	48253	33531
59	49050	32700
60	49906	31907
61	50704	31076
62	51496	30244
63	52313	29426
64	53122	28604
65	53918	27776
66	54726	26954
67	55533	26133
68	56322	25304
69	57101	24472
70	57909	23653
71	58710	22831
72	59501	22007
73	60347	21203
74	61137	20379
75	61929	19556
76	62748	18743
77	63520	17916
78	64289	17089
79	65070	16267
80	65866	15450
81	66657	14632
82	67455	13816
83	68270	13003
84	69051	12185
85	69840	11369
86	70659	10558
87	71460	9744
88	72257	8930
89	73085	8120
90	73880	7306
91	74686	6494
92	75466	5680
93	76272	4868
94	77060	4055
95	77852	3243
96	78691	2433
97	79490	1622
98	80300	811
99	81130	0
